Comment,Designator,Footprint,LCSC
"1uF","C1,C10,C15","Capacitor_SMD:C_0805_2012Metric","C318694"
"10uF","C11","Capacitor_SMD:C_0805_2012Metric","C307520"
"1uF_X5R","C12","Capacitor_SMD:C_0805_2012Metric","C318694"
"10nF_X7R","C14","Capacitor_SMD:C_0805_2012Metric","C1710"
"100nF","C6,C7,C8,C9,C13,C16","Capacitor_SMD:C_0805_2012Metric","C1711"
"20pF","C2,C3","Capacitor_SMD:C_0805_2012Metric","C1798"
"10nF","C4,C5","Capacitor_SMD:C_0805_2012Metric","C1710"
"1N4148W","D1","Diode_SMD:D_SOD-123","C176288"
"BAT60AE6327H","D2","Diode_SMD:D_SOD-323","C520634"
"GZ2012D601TF","FB1","Inductor_SMD:L_0805_2012Metric","C1017"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_5.3mm_M5_DIN965_Pad",""
"2-215079-0","J1,J2","footprints:2-215079-0",""
"Conn_01x03_Male","J10,J11,J14","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x04_Male","J15","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"Conn_01x02_Male","J12,J13,J16","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"671-0501","J3,J4,J5","footprints:6710501",""
"292304-1","J6","TE_292304-1","C86462"
"0702462004","J7","Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical",""
"SN37A14B","J8,J9","footprints:SN37A14B",""
"220","R1,R4,R5,R6,R7","Resistor_SMD:R_0805_2012Metric","C17557"
"10K","R18,R19","Resistor_SMD:R_0805_2012Metric","C17414"
"1800","R2","Resistor_SMD:R_0805_2012Metric","C17398"
"1000","R10,R11,R12,R13,R14,R15,R20","Resistor_SMD:R_0805_2012Metric","C17513"
"470","R3","Resistor_SMD:R_0805_2012Metric","C17710"
"STM32L496RGTx","U1","Package_QFP:LQFP-64_10x10mm_P0.5mm","C124720"
"6N139","U2","footprints:6N139SDM","C42186"
"SN74LS14D","U3","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C7739"
"LD3985M33R_SOT23","U4","Package_TO_SOT_SMD:SOT-23-5","C46243"
"9B-16.000MAAE-B","e1","Crystal:Crystal_HC49-U_Vertical","C2636524"
