Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",-48.260000,5.080000,0.000000,top
"C2","20pF","C_0805_2012Metric",-19.050002,-5.080000,90.000000,top
"C3","20pF","C_0805_2012Metric",-19.050002,-8.890000,-90.000000,top
"C4","10nF","C_0805_2012Metric",-92.710000,-19.050000,0.000000,top
"C5","10nF","C_0805_2012Metric",93.980000,19.050000,180.000000,top
"C6","100nF","C_0805_2012Metric",-93.030000,25.400000,0.000000,top
"C7","100nF","C_0805_2012Metric",-92.710000,-21.590000,0.000000,top
"C8","100nF","C_0805_2012Metric",92.710000,-21.590000,180.000000,top
"C9","100nF","C_0805_2012Metric",93.980000,16.510000,180.000000,top
"C10","1uF","C_0805_2012Metric",40.640000,13.970000,90.000000,top
"C11","10uF","C_0805_2012Metric",36.830000,13.970000,90.000000,top
"C12","1uF_X5R","C_0805_2012Metric",27.940000,22.860000,90.000000,top
"C13","100nF","C_0805_2012Metric",27.940000,18.730000,-90.000000,top
"C14","10nF_X7R","C_0805_2012Metric",38.100000,18.730000,90.000000,top
"C15","1uF","C_0805_2012Metric",38.100000,22.860000,-90.000000,top
"C16","100nF","C_0805_2012Metric",104.140000,13.970000,-90.000000,top
"D1","1N4148W","D_SOD-123",-17.780000,10.160000,90.000000,top
"D2","BAT60A","D_SOD-323",22.860000,22.860000,180.000000,top
"FB1","GZ2012D601TFCopy","L_0805_2012Metric",-6.350000,-13.970000,90.000000,top
"R1","220","R_0805_2012Metric",-25.400000,10.517500,90.000000,top
"R2","1800","R_0805_2012Metric",-25.400000,6.350000,0.000000,top
"R3","470","R_0805_2012Metric",-56.388000,2.032000,180.000000,top
"R4","220","R_0805_2012Metric",-76.200000,10.517500,90.000000,top
"R5","220","R_0805_2012Metric",-49.530000,10.517500,90.000000,top
"R6","220","R_0805_2012Metric",-73.660000,10.517500,90.000000,top
"R7","220","R_0805_2012Metric",-46.990000,10.517500,90.000000,top
"R10","1000","R_0805_2012Metric",19.685000,-3.810000,0.000000,top
"R11","1000","R_0805_2012Metric",19.685000,-5.715000,180.000000,top
"R12","1000","R_0805_2012Metric",19.407500,-13.335000,0.000000,top
"R13","1000","R_0805_2012Metric",19.407500,-15.875000,180.000000,top
"R14","1000","R_0805_2012Metric",37.465000,-5.080000,0.000000,top
"R15","1000","R_0805_2012Metric",37.465000,-6.985000,180.000000,top
"R18","10K","R_0805_2012Metric",91.440000,25.400000,90.000000,top
"R19","10K","R_0805_2012Metric",91.440000,30.480000,-90.000000,top
"R20","1000","R_0805_2012Metric",-95.250000,13.970000,-90.000000,top
"U1","STM32L476RGTx","LQFP-64_10x10mm_P0.5mm",0.000000,-7.620000,0.000000,top
"U3","SN74LS14D","SOIC-14_3.9x8.7mm_P1.27mm",-60.960000,7.620000,90.000000,top
"U4","LD3985M33R_SOT23","SOT-23-5",33.020000,20.320000,0.000000,top
