"Source:","C:\Users\hr193\OneDrive\Documents\Projects\hoatzin\board\hoatzin.kicad_sch"
"Date:","11/10/2022 12:02:30 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Centerline_Pitch","Comment","Description","Digi-Key Part Number","EU_RoHS_Compliance","Farnell Part Number","Height","LCSC","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Number_of_Positions","Product_Type"
"","","C1","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21A105KBCLNNC_Samsung.pdf","","","","","1 µF ±10% 50V Ceramic Capacitor X5R 0805 (2012 Metric)","1276-2396-1-ND","","","","C318694","Samsung","Samsung","CL21A105KBCLNNC","","","",""
"","","C2","20pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21C200JBANNNC_Samsung.pdf","","","","","20 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)","1276-1829-1-ND","","","","C1798","Samsung","Samsung","CL21C200JBANNNC","","","",""
"","","C3","20pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21C200JBANNNC_Samsung.pdf","","","","","20 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)","1276-1829-1-ND","","","","C1798","Samsung","Samsung","CL21C200JBANNNC","","","",""
"","","C4","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21B103KBANNNC_Samsung.pdf","","","","","10000 pF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)","1276-1015-1-ND","","","","C1710","Samsung","Samsung","CL21B103KBANNNC","","","",""
"","","C5","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://s3.amazonaws.com/snapeda/datasheet/CL21B103KBANNNC_Samsung.pdf","","","","","10000 pF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)","1276-1015-1-ND","","","","C1710","Samsung","Samsung","CL21B103KBANNNC","","","",""
"","","C6","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810191215_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.pdf","","","","","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1276-1003-1-ND","","","","C1711","Samsung","Samsung","CL21B104KBCNNNC","","","",""
"","","C7","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810191215_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.pdf","","","","","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1276-1003-1-ND","","","","C1711","Samsung","Samsung","CL21B104KBCNNNC","","","",""
"","","C8","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810191215_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.pdf","","","","","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1276-1003-1-ND","","","","C1711","Samsung","Samsung","CL21B104KBCNNNC","","","",""
"","","C9","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/lcsc/1810191215_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.pdf","","","","","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1276-1003-1-ND","","","","C1711","Samsung","Samsung","CL21B104KBCNNNC","","","",""
